"","Combination.label","First.ad","Second.ad","Third.ad","Fourth.ad","Probability.of.combination","Ordered.combination","row"
"357","c23","H1N1_T","H3N4_T","H4N2_T","H2N3_T","P(c23 | G=T)=1/576","H1N1_T, H3N4_T, H4N2_T, H2N3_T",528
"697","c365","H3N3_T","H1N2_T","H2N1_T","H4N4_T","P(c365 | G=T)=1/576","H3N3_T, H1N2_T, H2N1_T, H4N4_T",529
"103","c138","H1N4_T","H4N2_T","H2N3_T","H3N1_T","P(c138 | G=T)=1/576","H1N4_T, H4N2_T, H2N3_T, H3N1_T",530
"124","c146","H2N1_T","H1N2_T","H3N4_T","H4N3_T","P(c146 | G=T)=1/576","H2N1_T, H1N2_T, H3N4_T, H4N3_T",531
"687","c360","H3N2_T","H4N4_T","H2N3_T","H1N1_T","P(c360 | G=T)=1/576","H3N2_T, H4N4_T, H2N3_T, H1N1_T",532
"369","c234","H2N3_T","H3N2_T","H1N4_T","H4N1_T","P(c234 | G=T)=1/576","H2N3_T, H3N2_T, H1N4_T, H4N1_T",533
"924","c460","H4N1_T","H3N2_T","H2N4_T","H1N3_T","P(c460 | G=T)=1/576","H4N1_T, H3N2_T, H2N4_T, H1N3_T",534
"1248","c68","H1N2_T","H4N3_T","H3N4_T","H2N1_T","P(c68 | G=T)=1/576","H1N2_T, H4N3_T, H3N4_T, H2N1_T",535
"1206","c573","H4N4_T","H3N3_T","H1N1_T","H2N2_T","P(c573 | G=T)=1/576","H4N4_T, H3N3_T, H1N1_T, H2N2_T",536
"726","c375","H3N3_T","H2N1_T","H4N2_T","H1N4_T","P(c375 | G=T)=1/576","H3N3_T, H2N1_T, H4N2_T, H1N4_T",537
"731","c378","H3N3_T","H2N2_T","H1N4_T","H4N1_T","P(c378 | G=T)=1/576","H3N3_T, H2N2_T, H1N4_T, H4N1_T",538
"858","c431","H3N4_T","H4N3_T","H2N1_T","H1N2_T","P(c431 | G=T)=1/576","H3N4_T, H4N3_T, H2N1_T, H1N2_T",539
"527","c297","H3N1_T","H1N4_T","H2N2_T","H4N3_T","P(c297 | G=T)=1/576","H3N1_T, H1N4_T, H2N2_T, H4N3_T",540
"327","c220","H2N3_T","H1N1_T","H4N4_T","H3N2_T","P(c220 | G=T)=1/576","H2N3_T, H1N1_T, H4N4_T, H3N2_T",541
"665","c353","H3N2_T","H4N3_T","H1N1_T","H2N4_T","P(c353 | G=T)=1/576","H3N2_T, H4N3_T, H1N1_T, H2N4_T",542
"1159","c557","H4N4_T","H2N2_T","H1N1_T","H3N3_T","P(c557 | G=T)=1/576","H4N4_T, H2N2_T, H1N1_T, H3N3_T",543
"73","c125","H1N4_T","H3N2_T","H2N1_T","H4N3_T","P(c125 | G=T)=1/576","H1N4_T, H3N2_T, H2N1_T, H4N3_T",544
"863","c432","H3N4_T","H4N3_T","H2N2_T","H1N1_T","P(c432 | G=T)=1/576","H3N4_T, H4N3_T, H2N2_T, H1N1_T",545
"408","c250","H2N3_T","H4N4_T","H1N2_T","H3N1_T","P(c250 | G=T)=1/576","H2N3_T, H4N4_T, H1N2_T, H3N1_T",546
"965","c478","H4N2_T","H1N4_T","H2N3_T","H3N1_T","P(c478 | G=T)=1/576","H4N2_T, H1N4_T, H2N3_T, H3N1_T",547
"1040","c509","H4N3_T","H1N2_T","H2N1_T","H3N4_T","P(c509 | G=T)=1/576","H4N3_T, H1N2_T, H2N1_T, H3N4_T",548
"1178","c565","H4N4_T","H3N1_T","H1N2_T","H2N3_T","P(c565 | G=T)=1/576","H4N4_T, H3N1_T, H1N2_T, H2N3_T",549
"1072","c527","H4N3_T","H2N4_T","H3N1_T","H1N2_T","P(c527 | G=T)=1/576","H4N3_T, H2N4_T, H3N1_T, H1N2_T",550
"134","c149","H2N1_T","H1N3_T","H3N2_T","H4N4_T","P(c149 | G=T)=1/576","H2N1_T, H1N3_T, H3N2_T, H4N4_T",551
"84","c129","H1N4_T","H3N3_T","H2N1_T","H4N2_T","P(c129 | G=T)=1/576","H1N4_T, H3N3_T, H2N1_T, H4N2_T",552
"913","c456","H4N1_T","H2N4_T","H3N3_T","H1N2_T","P(c456 | G=T)=1/576","H4N1_T, H2N4_T, H3N3_T, H1N2_T",553
"1312","c96","H1N3_T","H3N4_T","H4N2_T","H2N1_T","P(c96 | G=T)=1/576","H1N3_T, H3N4_T, H4N2_T, H2N1_T",554
"982","c483","H4N2_T","H2N1_T","H3N3_T","H1N4_T","P(c483 | G=T)=1/576","H4N2_T, H2N1_T, H3N3_T, H1N4_T",555
"1165","c560","H4N4_T","H2N2_T","H3N3_T","H1N1_T","P(c560 | G=T)=1/576","H4N4_T, H2N2_T, H3N3_T, H1N1_T",556
"487","c287","H2N4_T","H4N3_T","H3N1_T","H1N2_T","P(c287 | G=T)=1/576","H2N4_T, H4N3_T, H3N1_T, H1N2_T",557
"358","c23","H1N1_T","H3N4_T","H4N2_T","H2N3_T","P(c23 | G=T)=1/576","H1N1_T, H3N4_T, H4N2_T, H2N3_T",558
"689","c361","H3N3_T","H1N1_T","H2N2_T","H4N4_T","P(c361 | G=T)=1/576","H3N3_T, H1N1_T, H2N2_T, H4N4_T",559
"968","c479","H4N2_T","H1N4_T","H3N1_T","H2N3_T","P(c479 | G=T)=1/576","H4N2_T, H1N4_T, H3N1_T, H2N3_T",560
"1302","c90","H1N3_T","H3N2_T","H2N4_T","H4N1_T","P(c90 | G=T)=1/576","H1N3_T, H3N2_T, H2N4_T, H4N1_T",561
"1199","c571","H4N4_T","H3N2_T","H2N1_T","H1N3_T","P(c571 | G=T)=1/576","H4N4_T, H3N2_T, H2N1_T, H1N3_T",562
"772","c393","H3N3_T","H4N4_T","H1N1_T","H2N2_T","P(c393 | G=T)=1/576","H3N3_T, H4N4_T, H1N1_T, H2N2_T",563
"1016","c499","H4N2_T","H3N3_T","H2N1_T","H1N4_T","P(c499 | G=T)=1/576","H4N2_T, H3N3_T, H2N1_T, H1N4_T",564
"108","c140","H1N4_T","H4N2_T","H3N3_T","H2N1_T","P(c140 | G=T)=1/576","H1N4_T, H4N2_T, H3N3_T, H2N1_T",565
"1013","c497","H4N2_T","H3N3_T","H1N1_T","H2N4_T","P(c497 | G=T)=1/576","H4N2_T, H3N3_T, H1N1_T, H2N4_T",566
"915","c457","H4N1_T","H3N2_T","H1N3_T","H2N4_T","P(c457 | G=T)=1/576","H4N1_T, H3N2_T, H1N3_T, H2N4_T",567
"666","c353","H3N2_T","H4N3_T","H1N1_T","H2N4_T","P(c353 | G=T)=1/576","H3N2_T, H4N3_T, H1N1_T, H2N4_T",568
"65","c121","H1N4_T","H3N1_T","H2N2_T","H4N3_T","P(c121 | G=T)=1/576","H1N4_T, H3N1_T, H2N2_T, H4N3_T",569
"656","c35","H1N1_T","H4N4_T","H3N2_T","H2N3_T","P(c35 | G=T)=1/576","H1N1_T, H4N4_T, H3N2_T, H2N3_T",570
"690","c361","H3N3_T","H1N1_T","H2N2_T","H4N4_T","P(c361 | G=T)=1/576","H3N3_T, H1N1_T, H2N2_T, H4N4_T",571
"939","c464","H4N1_T","H3N3_T","H2N4_T","H1N2_T","P(c464 | G=T)=1/576","H4N1_T, H3N3_T, H2N4_T, H1N2_T",572
"48","c115","H1N4_T","H2N2_T","H4N1_T","H3N3_T","P(c115 | G=T)=1/576","H1N4_T, H2N2_T, H4N1_T, H3N3_T",573
"756","c384","H3N3_T","H2N4_T","H4N2_T","H1N1_T","P(c384 | G=T)=1/576","H3N3_T, H2N4_T, H4N2_T, H1N1_T",574
"365","c233","H2N3_T","H3N2_T","H1N1_T","H4N4_T","P(c233 | G=T)=1/576","H2N3_T, H3N2_T, H1N1_T, H4N4_T",575
"334","c223","H2N3_T","H1N2_T","H4N1_T","H3N4_T","P(c223 | G=T)=1/576","H2N3_T, H1N2_T, H4N1_T, H3N4_T",576
"655","c35","H1N1_T","H4N4_T","H3N2_T","H2N3_T","P(c35 | G=T)=1/576","H1N1_T, H4N4_T, H3N2_T, H2N3_T",577
"390","c243","H2N3_T","H4N1_T","H3N2_T","H1N4_T","P(c243 | G=T)=1/576","H2N3_T, H4N1_T, H3N2_T, H1N4_T",578
"571","c318","H3N1_T","H4N3_T","H1N4_T","H2N2_T","P(c318 | G=T)=1/576","H3N1_T, H4N3_T, H1N4_T, H2N2_T",579
"952","c471","H4N2_T","H1N1_T","H3N3_T","H2N4_T","P(c471 | G=T)=1/576","H4N2_T, H1N1_T, H3N3_T, H2N4_T",580
"984","c483","H4N2_T","H2N1_T","H3N3_T","H1N4_T","P(c483 | G=T)=1/576","H4N2_T, H2N1_T, H3N3_T, H1N4_T",581
"1250","c7","H1N1_T","H2N3_T","H4N2_T","H3N4_T","P(c7 | G=T)=1/576","H1N1_T, H2N3_T, H4N2_T, H3N4_T",582
"611","c330","H3N2_T","H1N3_T","H2N4_T","H4N1_T","P(c330 | G=T)=1/576","H3N2_T, H1N3_T, H2N4_T, H4N1_T",583
"199","c174","H2N1_T","H4N3_T","H1N4_T","H3N2_T","P(c174 | G=T)=1/576","H2N1_T, H4N3_T, H1N4_T, H3N2_T",584
"359","c23","H1N1_T","H3N4_T","H4N2_T","H2N3_T","P(c23 | G=T)=1/576","H1N1_T, H3N4_T, H4N2_T, H2N3_T",585
"301","c207","H2N2_T","H4N1_T","H3N3_T","H1N4_T","P(c207 | G=T)=1/576","H2N2_T, H4N1_T, H3N3_T, H1N4_T",586
"154","c155","H2N1_T","H1N4_T","H4N2_T","H3N3_T","P(c155 | G=T)=1/576","H2N1_T, H1N4_T, H4N2_T, H3N3_T",587
"1167","c562","H4N4_T","H2N3_T","H1N2_T","H3N1_T","P(c562 | G=T)=1/576","H4N4_T, H2N3_T, H1N2_T, H3N1_T",588
"1141","c548","H4N4_T","H1N2_T","H3N3_T","H2N1_T","P(c548 | G=T)=1/576","H4N4_T, H1N2_T, H3N3_T, H2N1_T",589
"675","c355","H3N2_T","H4N3_T","H2N1_T","H1N4_T","P(c355 | G=T)=1/576","H3N2_T, H4N3_T, H2N1_T, H1N4_T",590
"1157","c556","H4N4_T","H2N1_T","H3N3_T","H1N2_T","P(c556 | G=T)=1/576","H4N4_T, H2N1_T, H3N3_T, H1N2_T",591
"1033","c506","H4N3_T","H1N1_T","H2N4_T","H3N2_T","P(c506 | G=T)=1/576","H4N3_T, H1N1_T, H2N4_T, H3N2_T",592
"1251","c70","H1N2_T","H4N4_T","H2N3_T","H3N1_T","P(c70 | G=T)=1/576","H1N2_T, H4N4_T, H2N3_T, H3N1_T",593
"640","c344","H3N2_T","H2N3_T","H4N4_T","H1N1_T","P(c344 | G=T)=1/576","H3N2_T, H2N3_T, H4N4_T, H1N1_T",594
"299","c206","H2N2_T","H4N1_T","H1N4_T","H3N3_T","P(c206 | G=T)=1/576","H2N2_T, H4N1_T, H1N4_T, H3N3_T",595
"766","c389","H3N3_T","H4N2_T","H1N1_T","H2N4_T","P(c389 | G=T)=1/576","H3N3_T, H4N2_T, H1N1_T, H2N4_T",596
"710","c368","H3N3_T","H1N2_T","H4N4_T","H2N1_T","P(c368 | G=T)=1/576","H3N3_T, H1N2_T, H4N4_T, H2N1_T",597
"797","c402","H3N4_T","H1N2_T","H2N3_T","H4N1_T","P(c402 | G=T)=1/576","H3N4_T, H1N2_T, H2N3_T, H4N1_T",598
"691","c361","H3N3_T","H1N1_T","H2N2_T","H4N4_T","P(c361 | G=T)=1/576","H3N3_T, H1N1_T, H2N2_T, H4N4_T",599
"1254","c71","H1N2_T","H4N4_T","H3N1_T","H2N3_T","P(c71 | G=T)=1/576","H1N2_T, H4N4_T, H3N1_T, H2N3_T",600
"178","c162","H2N1_T","H3N3_T","H1N4_T","H4N2_T","P(c162 | G=T)=1/576","H2N1_T, H3N3_T, H1N4_T, H4N2_T",601
"9","c101","H1N3_T","H4N2_T","H2N1_T","H3N4_T","P(c101 | G=T)=1/576","H1N3_T, H4N2_T, H2N1_T, H3N4_T",602
"1319","c99","H1N3_T","H4N1_T","H3N2_T","H2N4_T","P(c99 | G=T)=1/576","H1N3_T, H4N1_T, H3N2_T, H2N4_T",603
"584","c323","H3N1_T","H4N4_T","H2N2_T","H1N3_T","P(c323 | G=T)=1/576","H3N1_T, H4N4_T, H2N2_T, H1N3_T",604
"403","c247","H2N3_T","H4N2_T","H3N1_T","H1N4_T","P(c247 | G=T)=1/576","H2N3_T, H4N2_T, H3N1_T, H1N4_T",605
"340","c225","H2N3_T","H1N4_T","H3N1_T","H4N2_T","P(c225 | G=T)=1/576","H2N3_T, H1N4_T, H3N1_T, H4N2_T",606
"992","c486","H4N2_T","H2N3_T","H1N4_T","H3N1_T","P(c486 | G=T)=1/576","H4N2_T, H2N3_T, H1N4_T, H3N1_T",607
"66","c121","H1N4_T","H3N1_T","H2N2_T","H4N3_T","P(c121 | G=T)=1/576","H1N4_T, H3N1_T, H2N2_T, H4N3_T",608
"514","c294","H3N1_T","H1N3_T","H2N4_T","H4N2_T","P(c294 | G=T)=1/576","H3N1_T, H1N3_T, H2N4_T, H4N2_T",609
"349","c228","H2N3_T","H1N4_T","H4N2_T","H3N1_T","P(c228 | G=T)=1/576","H2N3_T, H1N4_T, H4N2_T, H3N1_T",610
"132","c149","H2N1_T","H1N3_T","H3N2_T","H4N4_T","P(c149 | G=T)=1/576","H2N1_T, H1N3_T, H3N2_T, H4N4_T",611
"935","c463","H4N1_T","H3N3_T","H2N2_T","H1N4_T","P(c463 | G=T)=1/576","H4N1_T, H3N3_T, H2N2_T, H1N4_T",612
"218","c177","H2N1_T","H4N4_T","H1N2_T","H3N3_T","P(c177 | G=T)=1/576","H2N1_T, H4N4_T, H1N2_T, H3N3_T",613
"920","c46","H1N2_T","H2N4_T","H3N3_T","H4N1_T","P(c46 | G=T)=1/576","H1N2_T, H2N4_T, H3N3_T, H4N1_T",614
"1131","c546","H4N4_T","H1N2_T","H2N3_T","H3N1_T","P(c546 | G=T)=1/576","H4N4_T, H1N2_T, H2N3_T, H3N1_T",615
"326","c219","H2N3_T","H1N1_T","H4N2_T","H3N4_T","P(c219 | G=T)=1/576","H2N3_T, H1N1_T, H4N2_T, H3N4_T",616
"249","c189","H2N2_T","H1N4_T","H3N1_T","H4N3_T","P(c189 | G=T)=1/576","H2N2_T, H1N4_T, H3N1_T, H4N3_T",617
"752","c383","H3N3_T","H2N4_T","H4N1_T","H1N2_T","P(c383 | G=T)=1/576","H3N3_T, H2N4_T, H4N1_T, H1N2_T",618
"898","c448","H4N1_T","H2N2_T","H3N4_T","H1N3_T","P(c448 | G=T)=1/576","H4N1_T, H2N2_T, H3N4_T, H1N3_T",619
"467","c279","H2N4_T","H4N1_T","H3N2_T","H1N3_T","P(c279 | G=T)=1/576","H2N4_T, H4N1_T, H3N2_T, H1N3_T",620
"1107","c536","H4N3_T","H3N2_T","H2N4_T","H1N1_T","P(c536 | G=T)=1/576","H4N3_T, H3N2_T, H2N4_T, H1N1_T",621
"494","c29","H1N1_T","H4N3_T","H2N2_T","H3N4_T","P(c29 | G=T)=1/576","H1N1_T, H4N3_T, H2N2_T, H3N4_T",622
"763","c387","H3N3_T","H4N1_T","H2N2_T","H1N4_T","P(c387 | G=T)=1/576","H3N3_T, H4N1_T, H2N2_T, H1N4_T",623
"963","c476","H4N2_T","H1N3_T","H3N4_T","H2N1_T","P(c476 | G=T)=1/576","H4N2_T, H1N3_T, H3N4_T, H2N1_T",624
"264","c194","H2N2_T","H3N1_T","H1N4_T","H4N3_T","P(c194 | G=T)=1/576","H2N2_T, H3N1_T, H1N4_T, H4N3_T",625
"1112","c537","H4N3_T","H3N4_T","H1N1_T","H2N2_T","P(c537 | G=T)=1/576","H4N3_T, H3N4_T, H1N1_T, H2N2_T",626
"470","c279","H2N4_T","H4N1_T","H3N2_T","H1N3_T","P(c279 | G=T)=1/576","H2N4_T, H4N1_T, H3N2_T, H1N3_T",627
"1130","c545","H4N4_T","H1N2_T","H2N1_T","H3N3_T","P(c545 | G=T)=1/576","H4N4_T, H1N2_T, H2N1_T, H3N3_T",628
"231","c180","H2N1_T","H4N4_T","H3N3_T","H1N2_T","P(c180 | G=T)=1/576","H2N1_T, H4N4_T, H3N3_T, H1N2_T",629
"648","c346","H3N2_T","H2N4_T","H1N3_T","H4N1_T","P(c346 | G=T)=1/576","H3N2_T, H2N4_T, H1N3_T, H4N1_T",630
"1051","c513","H4N3_T","H1N4_T","H2N1_T","H3N2_T","P(c513 | G=T)=1/576","H4N3_T, H1N4_T, H2N1_T, H3N2_T",631
"661","c350","H3N2_T","H4N1_T","H1N4_T","H2N3_T","P(c350 | G=T)=1/576","H3N2_T, H4N1_T, H1N4_T, H2N3_T",632
"415","c254","H2N4_T","H1N1_T","H3N3_T","H4N2_T","P(c254 | G=T)=1/576","H2N4_T, H1N1_T, H3N3_T, H4N2_T",633
"585","c323","H3N1_T","H4N4_T","H2N2_T","H1N3_T","P(c323 | G=T)=1/576","H3N1_T, H4N4_T, H2N2_T, H1N3_T",634
"1121","c542","H4N4_T","H1N1_T","H2N3_T","H3N2_T","P(c542 | G=T)=1/576","H4N4_T, H1N1_T, H2N3_T, H3N2_T",635
"976","c481","H4N2_T","H2N1_T","H1N3_T","H3N4_T","P(c481 | G=T)=1/576","H4N2_T, H2N1_T, H1N3_T, H3N4_T",636
"187","c166","H2N1_T","H3N4_T","H1N3_T","H4N2_T","P(c166 | G=T)=1/576","H2N1_T, H3N4_T, H1N3_T, H4N2_T",637
"993","c486","H4N2_T","H2N3_T","H1N4_T","H3N1_T","P(c486 | G=T)=1/576","H4N2_T, H2N3_T, H1N4_T, H3N1_T",638
"140","c150","H2N1_T","H1N3_T","H3N4_T","H4N2_T","P(c150 | G=T)=1/576","H2N1_T, H1N3_T, H3N4_T, H4N2_T",639
"269","c196","H2N2_T","H3N1_T","H4N4_T","H1N3_T","P(c196 | G=T)=1/576","H2N2_T, H3N1_T, H4N4_T, H1N3_T",640
"580","c321","H3N1_T","H4N4_T","H1N2_T","H2N3_T","P(c321 | G=T)=1/576","H3N1_T, H4N4_T, H1N2_T, H2N3_T",641
"27","c109","H1N4_T","H2N1_T","H3N2_T","H4N3_T","P(c109 | G=T)=1/576","H1N4_T, H2N1_T, H3N2_T, H4N3_T",642
"517","c294","H3N1_T","H1N3_T","H2N4_T","H4N2_T","P(c294 | G=T)=1/576","H3N1_T, H1N3_T, H2N4_T, H4N2_T",643
"1097","c534","H4N3_T","H3N2_T","H1N4_T","H2N1_T","P(c534 | G=T)=1/576","H4N3_T, H3N2_T, H1N4_T, H2N1_T",644
"216","c177","H2N1_T","H4N4_T","H1N2_T","H3N3_T","P(c177 | G=T)=1/576","H2N1_T, H4N4_T, H1N2_T, H3N3_T",645
"300","c206","H2N2_T","H4N1_T","H1N4_T","H3N3_T","P(c206 | G=T)=1/576","H2N2_T, H4N1_T, H1N4_T, H3N3_T",646
"608","c33","H1N1_T","H4N4_T","H2N2_T","H3N3_T","P(c33 | G=T)=1/576","H1N1_T, H4N4_T, H2N2_T, H3N3_T",647
"1046","c510","H4N3_T","H1N2_T","H2N4_T","H3N1_T","P(c510 | G=T)=1/576","H4N3_T, H1N2_T, H2N4_T, H3N1_T",648
"521","c295","H3N1_T","H1N3_T","H4N2_T","H2N4_T","P(c295 | G=T)=1/576","H3N1_T, H1N3_T, H4N2_T, H2N4_T",649
"937","c464","H4N1_T","H3N3_T","H2N4_T","H1N2_T","P(c464 | G=T)=1/576","H4N1_T, H3N3_T, H2N4_T, H1N2_T",650
"101","c137","H1N4_T","H4N2_T","H2N1_T","H3N3_T","P(c137 | G=T)=1/576","H1N4_T, H4N2_T, H2N1_T, H3N3_T",651
"780","c396","H3N3_T","H4N4_T","H2N2_T","H1N1_T","P(c396 | G=T)=1/576","H3N3_T, H4N4_T, H2N2_T, H1N1_T",652
"1012","c496","H4N2_T","H3N1_T","H2N4_T","H1N3_T","P(c496 | G=T)=1/576","H4N2_T, H3N1_T, H2N4_T, H1N3_T",653
"424","c260","H2N4_T","H1N2_T","H4N3_T","H3N1_T","P(c260 | G=T)=1/576","H2N4_T, H1N2_T, H4N3_T, H3N1_T",654
"1317","c99","H1N3_T","H4N1_T","H3N2_T","H2N4_T","P(c99 | G=T)=1/576","H1N3_T, H4N1_T, H3N2_T, H2N4_T",655
"518","c294","H3N1_T","H1N3_T","H2N4_T","H4N2_T","P(c294 | G=T)=1/576","H3N1_T, H1N3_T, H2N4_T, H4N2_T",656
"1028","c502","H4N2_T","H3N4_T","H1N3_T","H2N1_T","P(c502 | G=T)=1/576","H4N2_T, H3N4_T, H1N3_T, H2N1_T",657
"288","c20","H1N1_T","H3N3_T","H4N4_T","H2N2_T","P(c20 | G=T)=1/576","H1N1_T, H3N3_T, H4N4_T, H2N2_T",658
"131","c149","H2N1_T","H1N3_T","H3N2_T","H4N4_T","P(c149 | G=T)=1/576","H2N1_T, H1N3_T, H3N2_T, H4N4_T",659
"1119","c540","H4N3_T","H3N4_T","H2N2_T","H1N1_T","P(c540 | G=T)=1/576","H4N3_T, H3N4_T, H2N2_T, H1N1_T",660
"673","c355","H3N2_T","H4N3_T","H2N1_T","H1N4_T","P(c355 | G=T)=1/576","H3N2_T, H4N3_T, H2N1_T, H1N4_T",661
"1137","c547","H4N4_T","H1N2_T","H3N1_T","H2N3_T","P(c547 | G=T)=1/576","H4N4_T, H1N2_T, H3N1_T, H2N3_T",662
"950","c470","H4N2_T","H1N1_T","H2N4_T","H3N3_T","P(c470 | G=T)=1/576","H4N2_T, H1N1_T, H2N4_T, H3N3_T",663
"492","c29","H1N1_T","H4N3_T","H2N2_T","H3N4_T","P(c29 | G=T)=1/576","H1N1_T, H4N3_T, H2N2_T, H3N4_T",664
"201","c174","H2N1_T","H4N3_T","H1N4_T","H3N2_T","P(c174 | G=T)=1/576","H2N1_T, H4N3_T, H1N4_T, H3N2_T",665
"523","c295","H3N1_T","H1N3_T","H4N2_T","H2N4_T","P(c295 | G=T)=1/576","H3N1_T, H1N3_T, H4N2_T, H2N4_T",666
"816","c410","H3N4_T","H2N1_T","H1N3_T","H4N2_T","P(c410 | G=T)=1/576","H3N4_T, H2N1_T, H1N3_T, H4N2_T",667
"181","c164","H2N1_T","H3N3_T","H4N4_T","H1N2_T","P(c164 | G=T)=1/576","H2N1_T, H3N3_T, H4N4_T, H1N2_T",668
"441","c268","H2N4_T","H3N1_T","H4N3_T","H1N2_T","P(c268 | G=T)=1/576","H2N4_T, H3N1_T, H4N3_T, H1N2_T",669
"832","c421","H3N4_T","H4N1_T","H1N2_T","H2N3_T","P(c421 | G=T)=1/576","H3N4_T, H4N1_T, H1N2_T, H2N3_T",670
"1266","c74","H1N3_T","H2N1_T","H3N4_T","H4N2_T","P(c74 | G=T)=1/576","H1N3_T, H2N1_T, H3N4_T, H4N2_T",671
"1116","c539","H4N3_T","H3N4_T","H2N1_T","H1N2_T","P(c539 | G=T)=1/576","H4N3_T, H3N4_T, H2N1_T, H1N2_T",672
"347","c227","H2N3_T","H1N4_T","H4N1_T","H3N2_T","P(c227 | G=T)=1/576","H2N3_T, H1N4_T, H4N1_T, H3N2_T",673
"118","c144","H1N4_T","H4N3_T","H3N2_T","H2N1_T","P(c144 | G=T)=1/576","H1N4_T, H4N3_T, H3N2_T, H2N1_T",674
"1132","c546","H4N4_T","H1N2_T","H2N3_T","H3N1_T","P(c546 | G=T)=1/576","H4N4_T, H1N2_T, H2N3_T, H3N1_T",675
"991","c485","H4N2_T","H2N3_T","H1N1_T","H3N4_T","P(c485 | G=T)=1/576","H4N2_T, H2N3_T, H1N1_T, H3N4_T",676
"385","c240","H2N3_T","H3N4_T","H4N2_T","H1N1_T","P(c240 | G=T)=1/576","H2N3_T, H3N4_T, H4N2_T, H1N1_T",677
"1052","c514","H4N3_T","H1N4_T","H2N2_T","H3N1_T","P(c514 | G=T)=1/576","H4N3_T, H1N4_T, H2N2_T, H3N1_T",678
"63","c120","H1N4_T","H2N3_T","H4N2_T","H3N1_T","P(c120 | G=T)=1/576","H1N4_T, H2N3_T, H4N2_T, H3N1_T",679
"1139","c548","H4N4_T","H1N2_T","H3N3_T","H2N1_T","P(c548 | G=T)=1/576","H4N4_T, H1N2_T, H3N3_T, H2N1_T",680
"461","c276","H2N4_T","H3N3_T","H4N2_T","H1N1_T","P(c276 | G=T)=1/576","H2N4_T, H3N3_T, H4N2_T, H1N1_T",681
"1234","c64","H1N2_T","H4N1_T","H3N4_T","H2N3_T","P(c64 | G=T)=1/576","H1N2_T, H4N1_T, H3N4_T, H2N3_T",682
"694","c363","H3N3_T","H1N1_T","H4N2_T","H2N4_T","P(c363 | G=T)=1/576","H3N3_T, H1N1_T, H4N2_T, H2N4_T",683
"193","c170","H2N1_T","H4N2_T","H1N4_T","H3N3_T","P(c170 | G=T)=1/576","H2N1_T, H4N2_T, H1N4_T, H3N3_T",684
"970","c479","H4N2_T","H1N4_T","H3N1_T","H2N3_T","P(c479 | G=T)=1/576","H4N2_T, H1N4_T, H3N1_T, H2N3_T",685
"250","c189","H2N2_T","H1N4_T","H3N1_T","H4N3_T","P(c189 | G=T)=1/576","H2N2_T, H1N4_T, H3N1_T, H4N3_T",686
"1031","c504","H4N2_T","H3N4_T","H2N3_T","H1N1_T","P(c504 | G=T)=1/576","H4N2_T, H3N4_T, H2N3_T, H1N1_T",687
"168","c16","H1N1_T","H3N2_T","H4N4_T","H2N3_T","P(c16 | G=T)=1/576","H1N1_T, H3N2_T, H4N4_T, H2N3_T",688
"555","c312","H3N1_T","H2N4_T","H4N3_T","H1N2_T","P(c312 | G=T)=1/576","H3N1_T, H2N4_T, H4N3_T, H1N2_T",689
"460","c276","H2N4_T","H3N3_T","H4N2_T","H1N1_T","P(c276 | G=T)=1/576","H2N4_T, H3N3_T, H4N2_T, H1N1_T",690
"1034","c506","H4N3_T","H1N1_T","H2N4_T","H3N2_T","P(c506 | G=T)=1/576","H4N3_T, H1N1_T, H2N4_T, H3N2_T",691
"475","c281","H2N4_T","H4N2_T","H1N1_T","H3N3_T","P(c281 | G=T)=1/576","H2N4_T, H4N2_T, H1N1_T, H3N3_T",692
"81","c129","H1N4_T","H3N3_T","H2N1_T","H4N2_T","P(c129 | G=T)=1/576","H1N4_T, H3N3_T, H2N1_T, H4N2_T",693
"516","c294","H3N1_T","H1N3_T","H2N4_T","H4N2_T","P(c294 | G=T)=1/576","H3N1_T, H1N3_T, H2N4_T, H4N2_T",694
"1224","c6","H1N1_T","H2N3_T","H3N4_T","H4N2_T","P(c6 | G=T)=1/576","H1N1_T, H2N3_T, H3N4_T, H4N2_T",695
"1045","c51","H1N2_T","H3N1_T","H4N3_T","H2N4_T","P(c51 | G=T)=1/576","H1N2_T, H3N1_T, H4N3_T, H2N4_T",696
"240","c184","H2N2_T","H1N1_T","H4N4_T","H3N3_T","P(c184 | G=T)=1/576","H2N2_T, H1N1_T, H4N4_T, H3N3_T",697
"568","c315","H3N1_T","H4N2_T","H2N3_T","H1N4_T","P(c315 | G=T)=1/576","H3N1_T, H4N2_T, H2N3_T, H1N4_T",698
"203","c175","H2N1_T","H4N3_T","H3N2_T","H1N4_T","P(c175 | G=T)=1/576","H2N1_T, H4N3_T, H3N2_T, H1N4_T",699
"843","c427","H3N4_T","H4N2_T","H2N1_T","H1N3_T","P(c427 | G=T)=1/576","H3N4_T, H4N2_T, H2N1_T, H1N3_T",700
"1225","c6","H1N1_T","H2N3_T","H3N4_T","H4N2_T","P(c6 | G=T)=1/576","H1N1_T, H2N3_T, H3N4_T, H4N2_T",701
"645","c345","H3N2_T","H2N4_T","H1N1_T","H4N3_T","P(c345 | G=T)=1/576","H3N2_T, H2N4_T, H1N1_T, H4N3_T",702
